date,time,symbol,open,high,low,close,volume,oi
31/07/2025,14:37:44,NIFTY,24876.1,24876.1,24876.1,24876.1,75,6501525
31/07/2025,14:37:47,NIFTY,24876.1,24876.1,24876.1,24876.1,1800,6501525
31/07/2025,14:37:49,NIFTY,24877.0,24877.0,24877.0,24877.0,150,6501525
31/07/2025,14:37:50,NIFTY,24881.2,24881.2,24881.2,24881.2,1125,6501525
31/07/2025,14:37:52,NIFTY,24880.8,24880.8,24880.8,24880.8,150,6501525
31/07/2025,14:37:55,NIFTY,24882.0,24882.0,24882.0,24882.0,225,6501525
31/07/2025,14:37:57,NIFTY,24879.5,24879.5,24879.5,24879.5,75,6501525
31/07/2025,14:37:59,NIFTY,24882.0,24882.0,24882.0,24882.0,225,6501525
31/07/2025,14:38:02,NIFTY,24881.2,24881.2,24881.2,24881.2,75,6501525
31/07/2025,14:38:07,NIFTY,24880.6,24880.6,24880.6,24880.6,225,6501525
31/07/2025,14:38:08,NIFTY,24880.0,24880.0,24880.0,24880.0,75,6501525
31/07/2025,14:38:10,NIFTY,24879.6,24879.6,24879.6,24879.6,750,6501525
31/07/2025,14:38:12,NIFTY,24884.5,24884.5,24884.5,24884.5,1275,6501525
31/07/2025,14:38:15,NIFTY,24880.0,24880.0,24880.0,24880.0,75,6501525
31/07/2025,14:38:18,NIFTY,24881.0,24881.0,24881.0,24881.0,75,6501525
31/07/2025,14:38:27,NIFTY,24886.0,24886.0,24886.0,24886.0,375,6501525
31/07/2025,14:38:28,NIFTY,24884.0,24884.0,24884.0,24884.0,75,6501525
31/07/2025,14:38:30,NIFTY,24888.2,24888.2,24888.2,24888.2,300,6501525
31/07/2025,14:38:33,NIFTY,24888.9,24888.9,24888.9,24888.9,450,6501525
31/07/2025,14:38:35,NIFTY,24890.0,24890.0,24890.0,24890.0,150,6501525
31/07/2025,14:38:37,NIFTY,24890.0,24890.0,24890.0,24890.0,225,6501525
31/07/2025,14:38:38,NIFTY,24889.1,24889.1,24889.1,24889.1,1650,6501525
31/07/2025,14:38:40,NIFTY,24888.0,24888.0,24888.0,24888.0,150,6501525
31/07/2025,14:38:43,NIFTY,24882.4,24882.4,24882.4,24882.4,300,6501525
31/07/2025,14:38:45,NIFTY,24882.0,24882.0,24882.0,24882.0,150,6501525
31/07/2025,14:38:47,NIFTY,24888.8,24888.8,24888.8,24888.8,450,6501525
31/07/2025,14:38:48,NIFTY,24883.3,24883.3,24883.3,24883.3,75,6501525
31/07/2025,14:38:52,NIFTY,24890.0,24890.0,24890.0,24890.0,975,6501525
31/07/2025,14:38:53,NIFTY,24891.0,24891.0,24891.0,24891.0,150,6501525
31/07/2025,14:38:55,NIFTY,24885.9,24885.9,24885.9,24885.9,450,6501525
31/07/2025,14:38:58,NIFTY,24891.0,24891.0,24891.0,24891.0,150,6501525
31/07/2025,14:39:07,NIFTY,24892.0,24892.0,24892.0,24892.0,300,6501525
31/07/2025,14:39:08,NIFTY,24893.0,24893.0,24893.0,24893.0,75,6501525
31/07/2025,14:39:10,NIFTY,24894.9,24894.9,24894.9,24894.9,225,6501525
31/07/2025,14:39:18,NIFTY,24890.0,24890.0,24890.0,24890.0,375,6501525
31/07/2025,14:39:22,NIFTY,24883.0,24883.0,24883.0,24883.0,150,6501525
31/07/2025,14:39:23,NIFTY,24883.4,24883.4,24883.4,24883.4,75,6501525
31/07/2025,14:39:32,NIFTY,24893.2,24893.2,24893.2,24893.2,225,6501525
31/07/2025,14:39:35,NIFTY,24886.2,24886.2,24886.2,24886.2,450,6501525
31/07/2025,14:39:37,NIFTY,24887.0,24887.0,24887.0,24887.0,225,6501525
